bgc_id	gene_ids
BGC0000483	id='',name='AgeE';id='',name='AgeC'
BGC0000516	id='ABO67412.1',name='No gene ID';id='ABO67413.1',name='geoTII';id='ABO67414.1',name='geoM';id='',name='geoAII';id='ABO67415.1',name='No gene ID';id='ABO67416.1',name='No gene ID'
BGC0000535	id='nisP',name=''
BGC0000569	id='CBJ61631',name='pznK';id='CBJ61632',name='pznG';id='CBJ61633',name='pznH';id='CBJ61635',name='pznA';id='CBJ61637',name='pznC';id='CBJ61638',name='pznD';id='CBJ61639',name='pznB';id='CBJ61640',name='pznE';id='CBJ61641',name='pznL'
BGC0000578	id='SSGG_03858',name='';id='SSGG_03859',name='';id='SSGG_03861',name='';id='SSGG_03862',name=''
BGC0000579	id='SSEG_09764',name='';id='SSEG_09675',name='';id='SSEG_05178',name='';id='SSEG_05179',name='';id='SSEG_05180',name=''
BGC0000595	id='SCO_2438',name=''
BGC0000598	id='AFS60636',name='ORF-1 (int)'
BGC0000616	id='ABS75255',name='acnB';id='ABS75254',name='acnA';id='ABS75253',name='acnC';id='ABS75252',name='acnD';id='ABS75251',name='acnE';id='ABS75250',name='acnF'
BGC0000774	id='CAP53094.1',name='wxcJ';id='CAP53095.1',name='wxcI';id='CAP53108.1',name='wxvN'
BGC0000805	id='ABJ90154.1',name='moeD5';id='ABJ90155.1',name='moeJ5';id='ABJ90156.1',name='moeE5';id='ABJ90157.1',name='moeF5';id='ABJ90158.1',name='moeGT1';id='ABJ90159.1',name='moeH5';id='ABJ90160.1',name='moeK5';id='ABJ90161.1',name='moeGT4';id='ABJ90162.1',name='moeM5';id='ABJ90163.1',name='moeN5';id='ABJ90164.1',name='moeO5';id='ABJ90165.1',name='moeX5';id='ABJ90166.1',name='moeP5';id='ABJ90167.1',name='moeGT5';id='ABJ90168.1',name='moeGT2';id='ABJ90169.1',name='moeGT3';id='ABJ90170.1',name='moeR5';id='ABJ90171.1',name='moeS5'
BGC0000849	id='SCO6264',name='scbB'
BGC0000875	id='ADF80705.1',name='cpz4'
BGC0000887	id='',name='sxtC'
BGC0000892	id='AEA60662',name='';id='AEA60661',name='';id='AEA60655',name=''
BGC0000940	id='CAB87219',name='DesA';id='CAB87220',name='DesB'
BGC0000952	id='CBW45751',name='papR1';id='CBW45736',name='papR2';id='CBW45766',name='papR4';id='CBW45765',name='papR3';id='CBW45767',name='papR5';id='CBW45769',name='spbR'
BGC0000958	id='ZP_09179977.1',name='antA';id='ZP_09179978.1',name='antB';id='ZP_09179979.1',name='antC';id='ZP_09179980.1',name='antD';id='ZP_09179981.1',name='antE';id='ZP_09179982.1',name='antF';id='ZP_09179983.1',name='antG';id='ZP_09179984.1',name='antH';id='ZP_09179985.1',name='antI';id='ZP_09179986.1',name='antJ';id='ZP_09179987.1',name='antK';id='ZP_09179988.1',name='antL';id='ZP_09179989.1',name='antM';id='ZP_09179990.1',name='antN';id='ZP_09179990.1',name='antO'
BGC0000970	id='',name='cnd-acp'
BGC0001006	id='YP_001159858.1',name='';id='YP_001159859.1',name='';id='YP_001159860.1',name='';id='YP_001159861.1',name='';id='YP_001159862.1',name='';id='YP_001159863.1',name='';id='YP_001159864.1',name='';id='YP_001159865.1',name='';id='YP_001159866.1',name='';id='YP_001159867.1',name='';id='YP_001159868.1',name='';id='YP_001159869.1',name='';id='YP_001159870.1',name='';id='YP_001159871.1',name='';id='YP_001159872.1',name='';id='YP_001159873.1',name=''
BGC0001007	id='YP_001538062.1',name='';id='YP_001538063.1',name='';id='YP_001538064.1',name='';id='YP_001538065.1',name='';id='YP_001538066.1',name='';id='YP_001538067.1',name='';id='YP_001538068.1',name='';id='YP_001538069.1',name='';id='YP_001538070.1',name='';id='YP_001538071.1',name='';id='YP_001538072.1',name='';id='YP_001538073.1',name='';id='YP_001538074.1',name='';id='YP_001538075.1',name='';id='YP_001538076.1',name='';id='YP_001538077.1',name='';id='YP_001538078.1',name=''
BGC0001034	id='ctg1_orf00011',name='ABC transporter'
BGC0001037	id='EAL85109.1',name='psoE';id='EAL85124.1',name='fapR';id='EAL85123.1',name='No gene ID';id='EAL85122.1',name='psoF';id=' EDP49164.1',name='psoG'
BGC0001108	id='AAW33970.1',name='No gene ID';id='AAW33971.1',name='PedL';id='AAW33972.1',name='PedM';id='AAW33973.1',name='PedN';id='AAW33974.1',name='PedO';id='AAW33975.1',name='PedP';id='AAW33976.1',name='PedQ';id='AAW33977.1',name='PedR'
BGC0001120	id='ABC36203',name='burA';id='ABC35796',name='burF'
BGC0001123	id='AOR_1_34164, XP_001818590',name='aclH'
BGC0001134	id='',name='PpyS'
BGC0001135	id='AFP87549',name='BicA'
BGC0001137	id='protein_id=AGL76722.1',name='mcbC';id='protein_id=AGL76721.1',name='mcbB';id='protein_id=AGL76720.1',name='mcbA'
BGC0001138	id='protein_id=AET51843.1',name='mtdE';id='protein_id=AET51839.1',name='mtdA';id='protein_id=AET51844.1',name='mtdF';id='protein_id=AET51845.1',name='mtdG';id='protein_id=AET51846.1',name='mtdM1';id='protein_id=AET51847.1',name='mtdH';id='protein_id=AET51848.1',name='mtdI';id='protein_id=AET51849.1',name='mtdG1';id='protein_id=AET51850.1',name='mtdJ';id='protein_id=AET51851.1',name='mtdR1';id='protein_id=AET51852.1',name='mtdK';id='protein_id=AET51853.1',name='mtdL';id='protein_id=AET51872.1',name='mtdM';id='protein_id=AET51854.1',name='mtdN';id='protein_id=AET51855.1',name='mtdO';id='protein_id=AET51857.1',name='mtdQ';id='protein_id=AET51858.1',name='mtdS';id='protein_id=AET51859.1',name='mtdT';id='protein_id=AET51860.1',name='mtdR2';id='protein_id=AET51861.1',name='mtdU';id='protein_id=AET51862.1',name='mtdG2';id='protein_id=AET51863.1',name='mtdM2';id='protein_id=AET51864.1',name='mtdV';id='protein_id=AET51865.1',name='mtdM3';id='protein_id=AET51866.1',name='mtdR3';id='protein_id=AET51867.1',name='mtdW';id='protein_id=AET51868.1',name='mtdM4'
BGC0001141	id='AIA58903',name='Bref-TH';id='AIA58895',name='No Gene ID';id='AIA58896',name='No Gene ID';id='AIA58897',name='No Gene ID';id='AIA58898',name='No Gene ID';id='AIA58899',name='Bref-PKS'
BGC0001145	id='WP_004943465',name='ctmB';id='WP_004943468',name='ctmA';id='WP_004943471',name='ctmD';id='WP_004943473',name='ctmE';id='WP_004943476',name='ctmF';id='WP_004943480',name='ctmG';id='WP_004943488',name='ctmH'
BGC0001147	id='AIS24865.1',name='dst23';id='AIS24866.1',name='dst24';id='AIS24867.1',name='dst25';id='AIS24868.1',name='dst14';id='AIS24869.1',name='dst26'
BGC0001166	id='AGQ43601.1',name='TOXA';id='AGQ43602.1',name='TOXC';id='AGQ43604.1',name='TOXE';id='AGQ43605.1',name='TOXF';id='AGQ43606.1',name='TOXG'
BGC0001169	id='GI:570518041',name='pieB1';id='GI:570518044',name='pieB2';id='GI:570518045',name='pieE'
BGC0001170	id='CLOSPO_01168',name='closA';id='CLOSPO_01169',name='closB';id='CLOSPO_01170',name='closC';id='CLOSPO_01171',name='closD';id='CLOSPO_01172',name='closE';id='CLOSPO_01174',name='closG';id='CLOSPO_01175',name='closH';id='CLOSPO_01176',name='closI'
BGC0001171	id='',name='llsA'
BGC0001173	id='BAT_2474',name='pznK';id='BAT_2473',name='pznG';id='BAT_2472',name='pznH';id='BAT_4209',name='pznA';id='BAT_2469',name='pznC';id='BAT_2468',name='pznD';id='BAT_2467',name='pznB';id='BAT_2466',name='pznE';id='BAT_2465',name='pznL'
BGC0001174	id='',name='pznA'
BGC0001177	id='',name='MsnM6'
BGC0001182	id='XP_001220460',name='CHGG_01239 ';id='XP_001220463',name='CHGG_01242-1';id='XP_001220463',name='CHGG_01242-2'
BGC0001184	id='ABS75236.1',name='dhbA';id='ABS75235.1',name='dhbC';id='ABS75234.1',name='dhbE';id='ABS75233.1',name='dhbB';id='ABS75232.1',name='ABS75232.1'
BGC0001221	id='CnqPT1',name='cnqPT1'
BGC0001228	id='WP_028678149.1',name='rtmO';id='WP_043555673.1',name='rtmM';id='WP_051419351.1',name='rtmL';id='WP_051419347.1',name='rtmK';id='WP_051419352.1',name='rtmJ';id='WP_043555682.1',name='rtmI';id='WP_028678152.1',name='rtmH';id='WP_051419348.1',name='rtmG';id='WP_028678153.1',name='rtmF';id='WP_051419353.1',name='rtmE';id='WP_051419354.1',name='rtmD';id='WP_051419355.1',name='rtmC';id='WP_043555647.1',name='rtmB';id='WP_043555649.1',name='rtmA'
BGC0001331	id='WP_019032751.1',name='No gene ID';id='WP_019032764.1',name='No gene ID'
BGC0001347	id='ANQ43348.1',name='No gene ID';id='ANQ43349.1',name='No gene ID'
BGC0001439	id='OWA00000',name='cvm17'
BGC0001469	id='RAT94096.1',name='marM'
